episode,solar_reward,wind_reward,total_reward,solar_q_mean,wind_q_mean
1,222812.2745188859,222812.2745188859,445624.5490377718,457.95434787023294,453.4788339021823
2,222805.25134764894,222805.25134764894,445610.5026952979,500.6231633432933,497.1413166927833
3,222511.60105166287,222511.60105166287,445023.20210332575,502.31494873942427,505.9473162220225
4,222543.5163223704,222543.5163223704,445087.0326447408,505.00288739352607,505.0752994014597
5,222683.17955652624,222683.17955652624,445366.3591130525,507.4937797952932,503.48993744612477
6,222700.679476699,222700.679476699,445401.358953398,505.0225990234562,502.0479237510352
7,222823.08788937656,222823.08788937656,445646.1757787531,503.5296529424825,503.5328951923442
8,222640.9531248476,222640.9531248476,445281.9062496952,506.2172474416723,503.60343228914024
9,222733.66019644917,222733.66019644917,445467.32039289834,505.2125001555841,502.1606983817918
10,222734.9749845383,222734.9749845383,445469.9499690766,505.6467186132498,505.799032586721
11,222743.37217978938,222743.37217978938,445486.74435957876,507.4021776482518,502.5082276414699
12,222704.18686251168,222704.18686251168,445408.37372502335,505.4325663942082,505.6514802259935
13,222797.17044527188,222797.17044527188,445594.34089054377,506.0978004760696,501.46894896339296
14,222524.93591759237,222524.93591759237,445049.87183518475,503.0214944684861,503.04807293353224
15,222723.89393291305,222723.89393291305,445447.7878658261,507.4634531469518,504.82578292757586
16,222427.12532739033,222427.12532739033,444854.25065478066,503.1118285234962,504.29891401891996
17,222642.51816841814,222642.51816841814,445285.0363368363,504.3767284336773,501.70231195767786
18,222655.060498235,222655.060498235,445310.12099647,504.00094201362253,505.55743926062274
19,222619.6826033212,222619.6826033212,445239.3652066424,502.9736288103656,503.12194107246864
20,222790.8251011399,222790.8251011399,445581.6502022798,502.0802177456357,501.26689911176123
21,222681.31129186743,222681.31129186743,445362.62258373486,500.62485201907043,502.09242269994854
22,222740.03817551368,222740.03817551368,445480.07635102735,497.6198286981479,504.3983175715785
23,222812.1392384984,222812.1392384984,445624.2784769968,502.1932118473847,501.34504859027976
24,222678.09695804675,222678.09695804675,445356.1939160935,500.26878479304287,500.4363167459041
25,222647.89514637445,222647.89514637445,445295.7902927489,502.5034428992799,500.34039629612124
26,222741.9402389454,222741.9402389454,445483.8804778908,500.1447725644196,501.075112512455
27,222728.73635762176,222728.73635762176,445457.4727152435,502.74478816206243,500.60729050531035
28,222696.58881431303,222696.58881431303,445393.17762862606,501.09874843351395,500.54754839949226
29,222585.1878986673,222585.1878986673,445170.3757973346,498.98879160607214,499.9252936197201
30,222489.5144042939,222489.5144042939,444979.0288085878,498.2272497638786,498.3874207694963
31,222585.99483275646,222585.99483275646,445171.9896655129,500.61448933799267,499.27132070071315
32,222561.97616086804,222561.97616086804,445123.9523217361,499.0495562253753,502.6847861709862
33,222678.9470775855,222678.9470775855,445357.894155171,499.5335026288726,504.10278047265854
34,222866.51368714147,222866.51368714147,445733.02737428294,498.56034229755164,502.9669513151735
35,222542.67107531737,222542.67107531737,445085.34215063474,498.54166822604225,500.85770228612375
36,222611.17873902174,222611.17873902174,445222.3574780435,500.6418087496916,499.70869463957985
37,222671.90409770346,222671.90409770346,445343.8081954069,496.42495330055647,497.78340945588315
38,222560.37175578537,222560.37175578537,445120.74351157073,499.57343818950204,498.0321126358941
39,222538.84761507643,222538.84761507643,445077.69523015287,500.91748352572137,497.96988665739815
40,222595.70652520974,222595.70652520974,445191.4130504195,497.72470240655645,496.43425327997926
41,222650.70616081767,222650.70616081767,445301.41232163535,499.27063622503874,497.50278255354135
42,222481.41903214797,222481.41903214797,444962.83806429594,497.10774078301836,494.64232187678414
43,222841.76371495225,222841.76371495225,445683.5274299045,498.58221412683815,497.7262235322473
44,222636.96113500523,222636.96113500523,445273.92227001046,498.7224842196076,501.2818921651255
45,222718.2459628443,222718.2459628443,445436.4919256886,497.15815281813553,498.90832692446617
46,222741.65618712327,222741.65618712327,445483.31237424654,499.29217541352904,499.01459486652595
47,222697.24125616456,222697.24125616456,445394.4825123291,499.00083994855095,498.98591487324813
48,222541.80277196967,222541.80277196967,445083.60554393934,494.92815844989735,500.69687090379443
49,222664.1772728373,222664.1772728373,445328.3545456746,497.33478282837683,497.9171288791134
50,222649.34881351082,222649.34881351082,445298.69762702164,498.12438549250896,499.42052193920557
